occupation_code_1970,occupation_label,major_group,subgroup
420,Carpet installers,Craftsmen and Kindred Workers,
421,Cement and concrete finishers,Craftsmen and Kindred Workers,
422,Compositors and typesetters,Craftsmen and Kindred Workers,
423,"Printing trades apprentices, except pressmen",Craftsmen and Kindred Workers,
424,"Cranemen, derrickmen, and hoistmen",Craftsmen and Kindred Workers,
425,Decorators and window dressers,Craftsmen and Kindred Workers,
426,Dental laboratory technicians,Craftsmen and Kindred Workers,
430,Electricians,Craftsmen and Kindred Workers,
431,Electrician apprentices,Craftsmen and Kindred Workers,
433,Electric power linemen and cablemen,Craftsmen and Kindred Workers,
434,Electrotypers and stereotypers,Craftsmen and Kindred Workers,
435,"Engravers, except photoengravers",Craftsmen and Kindred Workers,
436,"Excavating, grading, and road machine operators, except bulldozer",Craftsmen and Kindred Workers,
440,"Floor layers, except tile setters",Craftsmen and Kindred Workers,
441,"Foremen, n.e.c.",Craftsmen and Kindred Workers,
442,Forgemen and hammermen,Craftsmen and Kindred Workers,
443,Furniture and wood finishers,Craftsmen and Kindred Workers,
444,Furriers,Craftsmen and Kindred Workers,
445,Glaziers,Craftsmen and Kindred Workers,
446,"Heat treaters, annealers, and temperers",Craftsmen and Kindred Workers,
450,"Inspectors, scalers, and graders, log and lumber",Craftsmen and Kindred Workers,
452,"Inspectors, n.e.c.",Craftsmen and Kindred Workers,
453,Jewelers and watchmakers,Craftsmen and Kindred Workers,
454,"Job and die setters, metal",Craftsmen and Kindred Workers,
455,Locomotive engineers,Craftsmen and Kindred Workers,
456,Locomotive firemen,Craftsmen and Kindred Workers,
461,Machinists,Craftsmen and Kindred Workers,
462,Machinist apprentices,Craftsmen and Kindred Workers,
470,"Air conditioning, heating, and refrigeration",Craftsmen and Kindred Workers,Mechanics and repairmen
471,Aircraft,Craftsmen and Kindred Workers,Mechanics and repairmen
472,Automobile body repairmen,Craftsmen and Kindred Workers,Mechanics and repairmen
473,Automobile mechanics,Craftsmen and Kindred Workers,Mechanics and repairmen
474,Automobile mechanic apprentices,Craftsmen and Kindred Workers,Mechanics and repairmen
475,Data processing machine repairmen,Craftsmen and Kindred Workers,Mechanics and repairmen
480,Farm implement,Craftsmen and Kindred Workers,Mechanics and repairmen
481,Heavy equipment and diesel mechanics,Craftsmen and Kindred Workers,Mechanics and repairmen
482,Household appliance and accessory installers and mechanics,Craftsmen and Kindred Workers,Mechanics and repairmen
483,Loom fixers,Craftsmen and Kindred Workers,Mechanics and repairmen
484,Office machine,Craftsmen and Kindred Workers,Mechanics and repairmen
485,Radio and television,Craftsmen and Kindred Workers,Mechanics and repairmen
486,Railroad and car shop,Craftsmen and Kindred Workers,Mechanics and repairmen
491,"Mechanic apprentices, except automobile",Craftsmen and Kindred Workers,Mechanics and repairmen
492,Miscellaneous mechanics and repairmen,Craftsmen and Kindred Workers,Mechanics and repairmen
495,"Mechanics and repairmen, n.s.",Craftsmen and Kindred Workers,Mechanics and repairmen
501,"Millers, grain, flour, and feed",Craftsmen and Kindred Workers,Mechanics and repairmen
502,Millwrights,Craftsmen and Kindred Workers,Mechanics and repairmen
503,"Molders, metal",Craftsmen and Kindred Workers,Mechanics and repairmen
504,Molder apprentices,Craftsmen and Kindred Workers,Mechanics and repairmen
505,Motion picture projectionists,Craftsmen and Kindred Workers,Mechanics and repairmen
506,"Opticians, and lens grinders and polishers",Craftsmen and Kindred Workers,Mechanics and repairmen
510,"Painters, construction and maintenance",Craftsmen and Kindred Workers,Mechanics and repairmen
511,Painter apprentices,Craftsmen and Kindred Workers,Mechanics and repairmen
512,Paperhangers,Craftsmen and Kindred Workers,Mechanics and repairmen
514,"Pattern and model makers, except paper",Craftsmen and Kindred Workers,Mechanics and repairmen
515,Photoengravers and lithographers,Craftsmen and Kindred Workers,Mechanics and repairmen
516,Piano and organ tuners and repairmen,Craftsmen and Kindred Workers,Mechanics and repairmen
520,Plasterers,Craftsmen and Kindred Workers,Mechanics and repairmen
521,Plasterer apprentices,Craftsmen and Kindred Workers,Mechanics and repairmen
522,Plumbers and pipe fitters,Craftsmen and Kindred Workers,Mechanics and repairmen
523,Plumber and pipe fitter apprentices,Craftsmen and Kindred Workers,Mechanics and repairmen
525,Power station operators,Craftsmen and Kindred Workers,Mechanics and repairmen
530,"Pressmen and plate printers, printing",Craftsmen and Kindred Workers,Mechanics and repairmen
531,Pressman apprentices,Craftsmen and Kindred Workers,Mechanics and repairmen
533,"Rollers and finishers, metal",Craftsmen and Kindred Workers,Mechanics and repairmen
534,Roofers and slaters,Craftsmen and Kindred Workers,Mechanics and repairmen
535,Sheetmetal workers and tinsmiths,Craftsmen and Kindred Workers,Mechanics and repairmen
536,Sheetmetal apprentices,Craftsmen and Kindred Workers,Mechanics and repairmen
540,Shipfitters,Craftsmen and Kindred Workers,Mechanics and repairmen
542,Shoe repairmen,Craftsmen and Kindred Workers,Mechanics and repairmen
543,Sign painters and letterers,Craftsmen and Kindred Workers,Mechanics and repairmen
545,Stationary engineers,Craftsmen and Kindred Workers,Mechanics and repairmen
546,Stone cutters and stone carvers,Craftsmen and Kindred Workers,Mechanics and repairmen
550,Structural metal craftsmen,Craftsmen and Kindred Workers,Mechanics and repairmen
551,Tailors,Craftsmen and Kindred Workers,Mechanics and repairmen
552,Telephone installers and repairmen,Craftsmen and Kindred Workers,Mechanics and repairmen
554,Telephone linemen and splicers,Craftsmen and Kindred Workers,Mechanics and repairmen
560,Tile setters,Craftsmen and Kindred Workers,Mechanics and repairmen
561,Tool and die makers,Craftsmen and Kindred Workers,Mechanics and repairmen
562,Tool and die maker apprentices,Craftsmen and Kindred Workers,Mechanics and repairmen
563,Upholsterers,Craftsmen and Kindred Workers,Mechanics and repairmen
571,"Craft apprentices, n.e.c.",Craftsmen and Kindred Workers,Mechanics and repairmen
572,"Apprentices, craft not specified",Craftsmen and Kindred Workers,Mechanics and repairmen
575,"Craftsmen and kindred workers, n.e.c.",Craftsmen and Kindred Workers,Mechanics and repairmen
580,Former members of the Armed Forces,Craftsmen and Kindred Workers,Mechanics and repairmen
586,Craftsmen and kindred workers -- allocated,Craftsmen and Kindred Workers,Mechanics and repairmen
601,Asbestos and insulation workers,"Operatives, Except Transport",
602,Assemblers,"Operatives, Except Transport",
603,Blasters and powdermen,"Operatives, Except Transport",
604,Bottling and canning operatives,"Operatives, Except Transport",
605,"Chainmen, rodmen, and axemen, surveying","Operatives, Except Transport",
610,"Checkers, examiners, and inspectors, manufacturing","Operatives, Except Transport",
611,Clothing ironers and pressers,"Operatives, Except Transport",
612,"Cutting operatives, n.e.c.","Operatives, Except Transport",
613,"Dressmakers and seamstresses, except factory","Operatives, Except Transport",
614,"Drillers, earth","Operatives, Except Transport",
615,Dry wall installers and lathers,"Operatives, Except Transport",
620,Dyers,"Operatives, Except Transport",
