qname,code,label
occall_emp_01,446,"Heat treaters, annealers, and temperers"
occall_emp_01,450,"Inspectors, scalers, and graders, log and lumber"
occall_emp_01,452,"Inspectors, n.e.c."
occall_emp_01,453,Jewelers and watchmakers
occall_emp_01,454,"Job and die setters, metal"
occall_emp_01,455,Locomotive engineers
occall_emp_01,456,Locomotive firemen
occall_emp_01,461,Machinists
occall_emp_01,462,Machinist apprentices
occall_emp_01,470,"Air conditioning, heating, and refrigeration"
occall_emp_01,471,Aircraft
occall_emp_01,472,Automobile body repairmen
occall_emp_01,473,Automobile mechanics
occall_emp_01,474,Automobile mechanic apprentices
occall_emp_01,475,Data processing machine repairmen
occall_emp_01,480,Farm implement
occall_emp_01,481,Heavy equipment and diesel mechanics
occall_emp_01,482,Household appliance and accessory installers and mechanics
occall_emp_01,483,Loom fixers
occall_emp_01,484,Office machine
occall_emp_01,485,Radio and television
occall_emp_01,486,Railroad and car shop
occall_emp_01,491,"Mechanic apprentices, except automobile"
occall_emp_01,492,Miscellaneous mechanics and repairmen
occall_emp_01,495,"Mechanics and repairmen, n.s."
occall_emp_01,501,"Millers, grain, flour, and feed"
occall_emp_01,502,Millwrights
occall_emp_01,503,"Molders, metal"
occall_emp_01,504,Molder apprentices
occall_emp_01,505,Motion picture projectionists
occall_emp_01,506,"Opticians, and lens grinders and polishers"
occall_emp_01,510,"Painters, construction and maintenance"
occall_emp_01,511,Painter apprentices
occall_emp_01,512,Paperhangers
occall_emp_01,514,"Pattern and model makers, except paper"
occall_emp_01,515,Photoengravers and lithographers
occall_emp_01,516,Piano and organ tuners and repairmen
occall_emp_01,520,Plasterers
occall_emp_01,521,Plasterer apprentices
occall_emp_01,522,Plumbers and pipe fitters
occall_emp_01,523,Plumber and pipe fitter apprentices
occall_emp_01,525,Power station operators
occall_emp_01,530,"Pressmen and plate printers, printing"
occall_emp_01,531,Pressman apprentices
occall_emp_01,533,"Rollers and finishers, metal"
occall_emp_01,534,Roofers and slaters
occall_emp_01,535,Sheetmetal workers and tinsmiths
occall_emp_01,536,Sheetmetal apprentices
occall_emp_01,540,Shipfitters
occall_emp_01,542,Shoe repairmen
occall_emp_01,543,Sign painters and letterers
occall_emp_01,545,Stationary engineers
occall_emp_01,546,Stone cutters and stone carvers
occall_emp_01,550,Structural metal craftsmen
occall_emp_01,551,Tailors
occall_emp_01,552,Telephone installers and repairmen
occall_emp_01,554,Telephone linemen and splicers
occall_emp_01,560,Tile setters
occall_emp_01,561,Tool and die makers
occall_emp_01,562,Tool and die maker apprentices
occall_emp_01,563,Upholsterers
occall_emp_01,571,"Craft apprentices, n.e.c."
occall_emp_01,572,"Apprentices, craft not specified"
occall_emp_01,575,"Craftsmen and kindred workers, n.e.c."
occall_emp_01,580,Former members of the Armed Forces
occall_emp_01,586,Craftsmen and kindred workers -- allocated
occall_emp_01,601,Asbestos and insulation workers
occall_emp_01,602,Assemblers
occall_emp_01,603,Blasters and powdermen
occall_emp_01,604,Bottling and canning operatives
occall_emp_01,605,"Chainmen, rodmen, and axemen, surveying"
occall_emp_01,610,"Checkers, examiners, and inspectors, manufacturing"
occall_emp_01,611,Clothing ironers and pressers
occall_emp_01,612,"Cutting operatives, n.e.c."
occall_emp_01,613,"Dressmakers and seamstresses, except factory"
occall_emp_01,614,"Drillers, earth"
occall_emp_01,615,Dry wall installers and lathers
occall_emp_01,620,Dyers
occall_emp_01,621,"Filers, polishers, sanders, and buffers"
occall_emp_01,622,"Furnacemen, smeltermen, and pourers"
occall_emp_01,623,Garage workers and gas station attendants
occall_emp_01,624,"Graders and sorters, manufacturing"
occall_emp_01,625,"Produce graders and packers, except factory and farm"
occall_emp_01,626,"Heaters, metal"
occall_emp_01,630,"Laundry and dry cleaning operatives, n.e.c."
occall_emp_01,631,"Meat cutters and butchers, except manufacturing"
occall_emp_01,633,"Meat cutters and butchers, manufacturing"
occall_emp_01,634,"Meat wrappers, retail trade"
occall_emp_01,635,Metal platers
occall_emp_01,636,Milliners
occall_emp_01,640,"Mine operatives, n.e.c."
occall_emp_01,641,Mixing operatives
occall_emp_01,642,"Oilers and greasers, except auto"
occall_emp_01,643,"Packers and wrappers, except meat and produce"
occall_emp_01,644,"Painters, manufactured articles"
occall_emp_01,645,Photographic process workers
occall_emp_01,650,Drill press operatives
occall_emp_01,651,Grinding machine operatives
occall_emp_01,652,Lathe and milling machine operatives
occall_emp_01,653,"Precision machine operatives, n.e.c."
occall_emp_01,656,Punch and stamping press operatives
occall_emp_01,660,Riveters and fasteners
occall_emp_01,661,Sailors and deckhands
occall_emp_01,662,Sawyers
occall_emp_01,663,Sewers and stitchers
occall_emp_01,664,Shoemaking machine operatives
occall_emp_01,665,Solderers
occall_emp_01,666,Stationary firemen
occall_emp_01,670,"Carding, lapping, and combing operatives"
occall_emp_01,671,"Knitters, loopers, and toppers"
occall_emp_01,672,"Spinners, twisters, and winders"
occall_emp_01,673,Weavers
occall_emp_01,674,"Textile operatives, n.e.c."
occall_emp_01,680,Welders and flame-cutters
occall_emp_01,681,"Winding operatives, n.e.c."
occall_emp_01,690,Miscellaneous machine operatives
occall_emp_01,692,"Machine operatives, n.s."
occall_emp_01,694,Miscellaneous operatives
occall_emp_01,695,"Operatives, n.s."
occall_emp_01,696,"Operatives, except transport -- allocated"
occall_emp_01,701,Boatmen and canalmen
occall_emp_01,703,Busdrivers
occall_emp_01,704,"Conductors and motormen, urban rail transit"
occall_emp_01,705,Deliverymen and routemen
occall_emp_01,706,Fork lift and tow motor operatives
occall_emp_01,710,"Motormen in mines, factories, logging camps, etc."
occall_emp_01,711,Parking attendants
occall_emp_01,712,Railroad brakemen
occall_emp_01,713,Railroad switchmen
occall_emp_01,714,Taxicab drivers and chauffeurs
occall_emp_01,715,Truck drivers
occall_emp_01,726,Transport equipment operatives -- allocated
occall_emp_01,740,"Animal caretakers, except farm"
occall_emp_01,750,Carpenters' helpers
occall_emp_01,751,"Construction laborers, except carpenters' helpers"
occall_emp_01,752,Fishermen and oystermen
occall_emp_01,753,Freight and material handlers
occall_emp_01,754,Garbage collectors
occall_emp_01,755,"Gardeners and groundskeepers, except farm"
occall_emp_01,760,Longshoremen and stevedores
occall_emp_01,761,"Lumbermen, raftsmen, and woodchoppers"
occall_emp_01,762,Stockhandlers
occall_emp_01,763,Teamsters
occall_emp_01,764,Vehicle washers and equipment cleaners
occall_emp_01,770,"Warehousemen, n.e.c."
occall_emp_01,780,Miscellaneous laborers
occall_emp_01,785,"Laborers, n.s."
occall_emp_01,796,"Laborers, except farm -- allocated"
occall_emp_01,801,Farmers (owners and tenants)
occall_emp_01,802,Farm managers
occall_emp_01,806,Farmers and farm managers -- allocated
occall_emp_01,821,Farm foremen
occall_emp_01,822,"Farm laborers, wage workers"
occall_emp_01,823,"Farm laborers, unpaid family workers"
occall_emp_01,824,"Farm service laborers, self-employed"
occall_emp_01,846,Farm laborers and farm foremen -- allocated
occall_emp_01,901,"Chambermaids and maids, except private household"
occall_emp_01,902,Cleaners and charwomen
occall_emp_01,903,Janitors and sextons
occall_emp_01,910,Bartenders
occall_emp_01,911,Busboys
occall_emp_01,912,"Cooks, except private household"
occall_emp_01,913,Dishwashers
occall_emp_01,914,Food counter and fountain workers
occall_emp_01,915,Waiters
occall_emp_01,916,"Food service workers, n.e.c., except private household"
occall_emp_01,921,Dental assistants
occall_emp_01,922,"Health aides, except nursing"
occall_emp_01,923,Health trainees
occall_emp_01,924,Lay midwives
occall_emp_01,925,"Nursing aides, orderlies, and attendants"
occall_emp_01,926,Practical nurses
occall_emp_01,931,Airline stewardesses
occall_emp_01,932,"Attendants, recreation and amusement"
occall_emp_01,933,"Attendants, personal service, n.e.c."
occall_emp_01,934,Baggage porters and bellhops
occall_emp_01,935,Barbers
occall_emp_01,940,Boarding and lodging house keepers
occall_emp_01,941,Bootblacks
occall_emp_01,942,"Child care workers, except private household"
occall_emp_01,943,Elevator operators
occall_emp_01,944,Hairdressers and cosmetologists
occall_emp_01,945,Personal service apprentices
occall_emp_01,950,"Housekeepers, except private household"
occall_emp_01,952,School monitors
occall_emp_01,953,"Ushers, recreation and amusement"
occall_emp_01,954,Welfare service aides
occall_emp_01,960,Crossing guards and bridge tenders
occall_emp_01,961,"Firemen, fire protection"
occall_emp_01,962,Guards and watchmen
occall_emp_01,963,Marshals and constables
occall_emp_01,964,Policemen and detectives
occall_emp_01,965,Sheriffs and bailiffs
occall_emp_01,976,"Service workers, except private household -- allocated"
occall_emp_01,980,"Child care workers, private household"
occall_emp_01,981,"Cooks, private household"
occall_emp_01,982,"Housekeepers, private household"
occall_emp_01,983,"Laundresses, private household"
occall_emp_01,984,"Maids and servants, private household"
occall_emp_01,986,Private household workers -- allocated
occall_emp_01,991,"Unemployed persons, last worked 1959 or earlier*"
occall_emp_01,995,Occupation not reported**
occall_emp_01,990,OCCUPATION NOT REPORTED
marstat_key,0,NEVER MARRIED
marstat_key,1,MARRIED
marstat_key,2,SEPARATED
marstat_key,3,DIVORCED
marstat_key,6,WIDOWED
